num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
2,0,True,500.26666666666665,259.67657501008824,129.83828750504412,0.0,0.0,2.267692307692308,0,0,2424,2.0,0,37.5,N2_NoFault,Scalability,15
2,0,True,876.6666666666666,452.8416858478473,226.42084292392366,0.011111111111111112,0.0,2.3168085106382987,0,0,3600,2.0,0,70.3125,N2_NoFault,Scalability,16
2,0,True,261.48333333333335,146.98627372157094,73.49313686078547,0.0,0.0,2.214166666666667,0,0,1150,2.0,0,15.625,N2_NoFault,Scalability,17
2,0,True,239.21666666666667,134.39049639953492,67.19524819976746,0.0,0.0,2.183333333333333,0,0,1150,2.0,0,15.625,N2_NoFault,Scalability,18
2,0,True,565.7,296.8230575783806,148.4115287891903,0.0,0.0,2.2909999999999995,0,0,2716,2.0,0,43.75,N2_NoFault,Scalability,19
2,0,True,682.7833333333333,352.86494614671733,176.43247307335866,0.0,0.0,2.3041666666666663,0,0,3094,2.0,0,53.125,N2_NoFault,Scalability,20
2,0,True,166.65,91.93835594198413,45.969177970992064,0.0,0.0,2.21625,0,0,714,2.0,0,9.375,N2_NoFault,Scalability,21
2,0,True,424.0833333333333,223.8844587482084,111.9422293741042,0.0,0.0,2.2790909090909084,0,0,2100,2.0,0,31.25,N2_NoFault,Scalability,22
2,0,True,901.7,467.50722000714933,233.75361000357466,0.0,0.0,2.3202083333333334,0,0,3634,2.0,0,71.875,N2_NoFault,Scalability,23
2,0,True,787.1666666666666,404.5039615972636,202.2519807986318,0.0,0.0,2.306190476190477,0,0,3400,2.0,0,62.5,N2_NoFault,Scalability,24
2,0,True,428.31666666666666,228.42897982327514,114.21448991163757,0.02631578947368421,0.0,2.2809523809523813,0,0,2014,2.0,0,29.6875,N2_NoFault,Scalability,25
2,0,True,987.4333333333333,505.6643972254335,252.83219861271675,0.00980392156862745,0.0,2.3232075471698117,0,0,3774,2.0,0,79.6875,N2_NoFault,Scalability,26
2,0,True,874.9166666666666,445.6904484967824,222.8452242483912,0.011111111111111112,0.0,2.320425531914894,0,0,3600,2.0,0,70.3125,N2_NoFault,Scalability,27
2,0,True,763.2,389.7705807447356,194.8852903723678,0.0,0.0,2.316666666666667,0,0,3400,2.0,0,62.5,N2_NoFault,Scalability,28
2,0,False,757.7333333333333,389.9206690819392,194.9603345409696,0.0,0.0,2.3075,0,2,3410,2.0,0,59.375,N2_NoFault,Scalability,29
4,0,True,454.6166666666667,473.14959403831676,118.28739850957919,0.0,0.0,2.3381250000000002,0,0,6780,4.0,0,68.75,N4_NoFault,Scalability,0
4,0,False,1666.6666666666667,380.2372293552251,95.05930733880628,0.1,66.72916666666666,2.2355555555555555,2,0,5196,4.0,1,37.5,N4_NoFault,Scalability,1
4,0,True,265.73333333333335,289.1764310870624,72.2941077717656,0.03571428571428571,0.0,2.1940000000000004,0,0,4200,4.0,0,32.8125,N4_NoFault,Scalability,2
4,0,True,370.8666666666667,395.41570010451034,98.85392502612758,0.0,0.0,2.2541666666666664,0,0,5696,4.0,0,50.0,N4_NoFault,Scalability,3
4,0,True,697.6166666666667,659.0913687867453,164.77284219668633,0.08333333333333333,0.0,2.3682539682539683,0,0,7400,4.0,0,93.75,N4_NoFault,Scalability,4
4,0,True,402.7,426.0715546188343,106.51788865470857,0.02027027027027027,0.0,2.329268292682927,0,0,6216,4.0,0,57.8125,N4_NoFault,Scalability,5
4,0,True,420.93333333333334,397.12435215520605,99.28108803880151,0.12878787878787878,0.0,2.3019444444444446,0,0,5880,4.0,0,51.5625,N4_NoFault,Scalability,6
4,0,True,485.1166666666667,506.2043029949491,126.55107574873728,0.0,0.0,2.331538461538462,0,0,7008,4.0,0,75.0,N4_NoFault,Scalability,7
4,0,True,306.95,327.7353999933729,81.93384999834322,0.03,0.0,2.2006896551724138,0,0,4800,4.0,0,39.0625,N4_NoFault,Scalability,8
4,0,True,90.18333333333334,113.57974825529108,28.39493706382277,0.25,0.0,2.0942857142857148,0,0,708,4.0,0,4.6875,N4_NoFault,Scalability,9
4,0,True,413.78333333333336,442.49104014340753,110.62276003585188,0.019230769230769232,0.0,2.3051162790697677,0,0,6396,4.0,0,60.9375,N4_NoFault,Scalability,10
4,0,True,122.65,149.43465138384977,37.35866284596244,0.16666666666666666,0.0,2.133,0,0,1380,4.0,0,9.375,N4_NoFault,Scalability,11
4,0,True,668.15,641.5914907027443,160.39787267568607,0.0635593220338983,0.0,2.343225806451613,0,0,7384,4.0,0,92.1875,N4_NoFault,Scalability,12
4,0,True,353.85,380.2826945367308,95.0706736341827,0.0,0.0,2.314166666666667,0,0,5696,4.0,0,50.0,N4_NoFault,Scalability,13
4,0,True,650.1666666666666,631.744639653897,157.93615991347426,0.06140350877192982,0.0,2.34322033898305,0,0,7356,4.0,0,89.0625,N4_NoFault,Scalability,14
4,0,True,192.85,219.44828361537506,54.862070903843765,0.07142857142857142,0.0,2.192222222222222,0,0,2996,4.0,0,21.875,N4_NoFault,Scalability,15
4,0,True,442.26666666666665,462.3012098030607,115.57530245076518,0.019230769230769232,0.0,2.29046511627907,0,0,6396,4.0,0,60.9375,N4_NoFault,Scalability,16
4,0,True,725.1333333333333,588.6148504426847,147.15371261067116,0.20833333333333334,0.0,2.2870000000000004,0,0,7188,4.0,0,75.0,N4_NoFault,Scalability,17
4,0,True,479.1166666666667,502.6591681732782,125.66479204331955,0.016666666666666666,0.0,2.3010204081632657,0,0,6840,4.0,0,70.3125,N4_NoFault,Scalability,18
4,0,True,87.1,111.14969107043383,27.787422767608458,0.0,0.0,2.1100000000000003,0,0,936,4.0,0,6.25,N4_NoFault,Scalability,19
4,0,True,302.46666666666664,320.22013972022035,80.05503493005509,0.03,0.0,2.271034482758621,0,0,4800,4.0,0,39.0625,N4_NoFault,Scalability,20
4,0,True,449.26666666666665,476.8666686225887,119.21666715564717,0.018292682926829267,0.0,2.329777777777778,0,0,6560,4.0,0,64.0625,N4_NoFault,Scalability,21
4,0,True,300.98333333333335,320.76411525220766,80.19102881305191,0.027777777777777776,0.0,2.2274193548387102,0,0,5076,4.0,0,42.1875,N4_NoFault,Scalability,22
4,0,True,488.46666666666664,443.2983746747092,110.8245936686773,0.12162162162162163,100.28958333333333,2.302439024390244,5,2,6568,4.0,0,57.8125,N4_NoFault,Scalability,23
4,0,True,377.8333333333333,397.99520717703183,99.49880179425796,0.022727272727272728,0.0,2.325135135135135,0,0,5808,4.0,0,51.5625,N4_NoFault,Scalability,24
4,0,True,382.7,410.2456009399757,102.56140023499393,0.029411764705882353,0.0,2.3142105263157897,0,0,5916,4.0,0,53.125,N4_NoFault,Scalability,25
4,0,True,529.4,557.5621731692082,139.39054329230206,0.02,0.0,2.3381481481481483,0,0,7100,4.0,0,78.125,N4_NoFault,Scalability,26
4,0,True,466.68333333333334,485.4171972403645,121.35429931009112,0.016666666666666666,0.0,2.3167346938775513,0,0,6840,4.0,0,70.3125,N4_NoFault,Scalability,27
4,0,True,393.78333333333336,395.9243985987066,98.98109964967665,0.045454545454545456,86.96875,2.3383783783783785,1,1,5976,4.0,0,51.5625,N4_NoFault,Scalability,28
4,0,True,298.56666666666666,308.78602506782374,77.19650626695594,0.0,0.0,2.258518518518519,0,0,4668,4.0,0,37.5,N4_NoFault,Scalability,29
8,0,True,96.88333333333334,240.68771142928398,30.085963928660497,0.09722222222222222,0.0,2.1500000000000004,0,0,3744,8.0,0,14.0625,N8_NoFault,Scalability,0
